Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 04:46:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.74890379288582,51.666666666666686,46.10666666666668,0.0,51.567614568213955,0.0,0.0,0.0,34.74890379288582,50.52708650418765,51.567614568213955,50.00682247217451,12.43753247303448,20.699886365135516,0.0,-1.1,1412.653491894524,-1014.9567459598017,-0.0,-0.0,342.4625390686148,0.0,3.0,0.03527846334879621,0.0,0,0.4926460711986336,197.99884266666666,-30.825723436511673,0.22402186571280658,10.200479703174707,0.003324402327892391,94.37142495031102,1.2175045163566118
2025-01-01 04:47:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.72654762870211,51.666666666666686,46.10666666666668,0.0,51.56430950491404,0.0,0.0,0.0,34.72654762870211,50.52416047367298,51.56430950491404,50.00408595805246,12.43753247303448,20.716160761326854,0.0,-1.1,1410.9410571383055,-1016.2072568601999,-0.0,-0.0,342.4625390686148,0.0,3.0,0.03529557992700321,0.0,0,0.4928850956403353,197.99884266666666,-31.287647292331826,0.2238301887133617,10.207821576701688,0.003324892420585579,94.28563035982535,1.217436731032193
2025-01-01 04:48:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.70473194658898,51.666666666666686,46.10666666666668,0.0,51.561006522392226,0.0,0.0,0.0,34.70473194658898,50.52123632565851,51.561006522392226,50.001351227291664,12.43753247303448,20.731972520439758,0.0,-1.1,1409.2878824668246,-1017.4228000043548,-0.0,-0.0,342.4625390686148,0.0,3.0,0.035312205647436576,0.0,0,0.4931172654990779,197.99884266666666,-31.725278819657873,0.22364504395305607,10.21559123690557,0.003325382094990492,94.2006942450949,1.2173708699383925
2025-01-01 04:49:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.68343451166957,51.666666666666686,46.10666666666668,0.0,51.55770557175071,0.0,0.0,0.0,34.68343451166957,50.51831401463298,51.55770557175071,49.998618236074115,12.43753247303448,20.747340707074006,0.0,-1.1,1407.6913639337959,-1018.6047916234872,-0.0,-0.0,342.4625390686148,0.0,3.0,0.035328360922824965,0.0,0,0.4933428658283931,197.99884266666666,-32.13980573355428,0.22346615102956394,10.223126209306642,0.003325871354745962,94.11658257959456,1.2173068534863984
2025-01-01 04:50:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.662634148123765,51.666666666666686,46.10666666666668,0.0,51.55440660610257,0.0,0.0,0.0,34.662634148123765,50.51539349695737,51.55440660610257,49.995886942384786,12.43753247303448,20.762283477380823,0.0,-1.1,1406.149025212966,-1019.7545821293794,-0.0,-0.0,342.4625390686148,0.0,3.0,0.03534406518059287,0.0,0,0.4935621679225335,197.99884266666666,-32.53235394849184,0.2232932435981114,10.229761849826481,0.0033263602033486014,94.03326295908124,1.2172446059003132
2025-01-01 04:51:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.642310680851864,51.666666666666686,46.10666666666668,0.0,51.55110958047595,0.0,0.0,0.0,34.642310680851864,50.512474730775835,51.55110958047595,49.99315730592578,12.43753247303448,20.77681812923155,0.0,-1.1,1404.6585114632903,-1020.8734596334184,-0.0,-0.0,342.4625390686148,0.0,3.0,0.03535933691816571,0.0,0,0.49377543008878066,197.99884266666666,-32.90399019412836,0.22312606854507228,10.236855367904322,0.003326848644159532,93.95070451122119,1.2171840550051711
2025-01-01 04:52:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.62244488079464,51.666666666666686,46.10666666666668,0.0,51.547814451723596,0.0,0.0,0.0,34.62244488079464,50.509557675931305,51.547814451723596,49.990429288035166,12.43753247303448,20.790961149101612,0.0,-1.1,1403.2175822325532,-1021.9626532432349,-0.0,-0.0,342.4625390686148,0.0,3.0,0.03537419375459085,0.0,0,0.49398289836830644,197.99884266666666,-33.255725815049196,0.22296438521931475,10.243741638629688,0.0033273366804107392,93.86887781122456,1.2171251320289298
2025-01-01 04:53:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.60301841391006,51.666666666666686,46.10666666666668,0.0,51.544521178437265,0.0,0.0,0.0,34.60301841391006,50.506642293885946,51.544521178437265,49.98770285161029,12.43753247303448,20.804728255895238,0.0,-1.1,1401.8241046985804,-1023.0233361513667,-0.0,-0.0,342.4625390686148,0.0,3.0,0.0353886524787341,0.0,0,0.49418480720921293,197.99884266666666,-33.58852044089019,0.22280796471686964,10.250428961390774,0.0033278243152110774,93.78775480306803,1.2170677714174711
2025-01-01 04:54:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.58401379321592,51.666666666666686,46.10666666666668,0.0,51.54122972086681,0.0,0.0,0.0,34.58401379321592,50.50372854764571,51.54122972086681,49.984977961035156,12.43753247303448,20.818134441948683,0.0,-1.1,1400.4760476568804,-1024.0566285316295,-0.0,-0.0,342.4625390686148,0.0,3.0,0.035402729094321565,0.0,0,0.49438138009551963,197.99884266666666,-33.90328510232745,0.22265658921463302,10.25692525152274,0.003328311551551954,93.70730872586392,1.2170119106615933
2025-01-01 04:55:00,2.269562029333725,0.09776690045951261,0.0,0.037826033822228745,0.0016294483409918768,0.0,0.01640514672853911,0.0,0.1371834603829635,2.1159734222222224,0.0,0.0,0.09776690045951261,0.0,1,0,0,Off,0.0,0,Off,0.004478402549342105,0.0,On,0.011926744179197004,0,On,0.006827593103613312,0,On,0.1303558672793502,0.09776690045951261,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,34.56541433432021,51.666666666666686,46.10666666666668,0.0,51.537940040843566,0.0,0.0,0.0,34.56541433432021,50.500816401689036,51.537940040843566,49.982254582111786,12.43753247303448,20.831194011438832,0.0,-1.1,1399.1714760579027,-1025.0636002583165,-0.0,-0.0,342.4625390686148,0.0,3.0,0.035416438862083656,0.0,0,0.49457283013568326,197.99884266666666,-34.20088497461804,0.22251005134893237,10.263238060625337,0.0033287983923127075,93.62751404495593,1.2169574901350224
